HS_Code,Description,Exemption_List,Scope_Limitation
2903.46.10,"1,1,1,2,3,3,3-Heptafluoropropane (HFC- 227ea),1,1,1,2,2,3-hexafluoropropane (HFC- 236cb),1,1,1,2,3,3-hexafluoropropane (HFC-236ea) and 1,1,1,3,3,3-hexafluoropropane (HFC-236fa)",new,Pharma
2903.47.10,"1,1,1,3,3-Pentafluoropropane (HFC-245fa) and 1,1,2,2,3-pentafluoropropane (HFC-245ca)",new,Pharma
2903.48.00,"1,1,1,3,3-Pentafluorobutane (HFC-365mfc) and 1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC- 4310mee)",new,Pharma
2903.49.00,"Other saturated fluorinated derivatives of acyclic hydrocarbons, nesoi",new,Pharma
2903.51.10,"2,3,3,3-Tetrafluoropropene (HFO-1234yf), 1,3,3,3- tetrafluoropropene (HFO-1234ze) and (Z)- 1,1,1,4,4,4-hexafluoro-2-butene (HFO-1336mzz)",both,Pharma
2903.59.10,"1,1,3,3,3-Pentafluoro-2-(trifluoromethyl)-prop-1-ene",new,Pharma
2903.59.90,Other unsaturated fluorinated derivatives of acyclic hydrocarbons,both,Pharma
2903.69.10,"Acetylene tetrabromide; alkyl bromides, other than methyl bromide (bromomethane); methylene dibromide; and vinyl bromide",new,Pharma
2903.69.90,Other brominated or iodinated derivatives of acyclic hydrocarbons,both,Pharma
2903.71.01,Chlorodifluoromethane (HCFC-22),new,Pharma
2903.77.00,"Other acyclic hydrocarbon derivatives, perhalogenated only with fluorine and chlorine",new,Pharma
2903.78.00,"Other perhalogenated acyclic hydrocarbon derivatives, nesoi",both,Pharma
2903.79.90,"Other halogenated derivatives of acyclic hydrocarbons containing two or more different halogens, nesoi",both,Pharma
2903.81.00,"1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)",new,Pharma
2903.89.15,"Halogenated products derived in whole or in part from benzene or other aromatic hydrocarbons, described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2903.89.20,"Halogenated derivatives derived in whole or in part from benzene or other aromatic hydrocarbons, nesoi",both,Pharma
2903.89.70,"Other halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons not derived from benzene or other aromatic hydrocarbons",both,Pharma
2903.92.00,"Hexachlorobenzene (ISO) and DDT (clofenotane (INN), (1,1,1-trichloro-2,2-bis(p- chlorophenyl)ethane)",both,Pharma
2903.93.00,"Halogenated derivatives of aromatic hydrocarbons, pentachlorobenzene",new,Pharma
2903.94.00,"Halogenated derivatives of aromatic hydrocarbons, hexabromobiphenyls",new,Pharma
2903.99.20,"Benzyl chloride (α-Chlorotoluene); Benzotrichloride (α, α, α-Trichlorotoluene)",new,Pharma
2903.99.80,"Other halogenated derivatives of aromatic hydrocarbons, nesoi",new,Pharma
2904.10.32,"Aromatic derivatives of hydrocarbons containing only sulfo groups, their salts and ethyl esters, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2904.10.50,"Nonaromatic derivatives of hydrocarbons containing only sulfo groups, their salts and ethyl esters, nesoi",new,Pharma
2904.20.10,p-Nitrotoluene,new,Pharma
2904.20.15,p-Nitro-o-xylene,new,Pharma
2904.20.20,Trinitrotoluene,new,Pharma
2904.20.30,"5-tert-Butyl-2,4,6-trinitro-m-xylene (Musk xylol) and other artificial musks",new,Pharma
2904.20.35,"Nitrated benzene, nitrated toluene (except p- nitrotoluene) or nitrated naphthalene",new,Pharma
2904.20.40,"Aromatic derivatives of hydrocarbons containing only nitro or only nitroso groups, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2904.20.45,"Aromatic derivatives of hydrocarbons containing only nitro or only nitroso groups, nesoi",new,Pharma
2904.20.50,"Nonaromatic derivatives of hydrocarbons containing only nitro or only nitroso groups, nesoi",new,Pharma
2904.99.04,Monochloromononitrobenzenes; o- nitrochlorobenzene; p-nitrochlorobenzene,new,Pharma
2904.99.08,Monochloromononitrobenzenes nesoi,new,Pharma
2904.99.15,"4-Chloro-3-nitro-α-α-α-trifluorotoluene; 2-Chloro-5- nitro-α-α-α-trifluorotoluene; and 4-Chloro-3,5- dinitro-α-α-α-trifluorotoluene",new,Pharma
2904.99.20,Nitrotoluenesulfonic acids,new,Pharma
2904.99.30,"1-Bromo-2-nitrobenzene; 1,2-Dichloro-4- nitrobenzene and o-Fluoronitrobenzene",new,Pharma
2904.99.35,"4,4'-Dinitrostilbene-2,2'-disulfonic acid",new,Pharma
2904.99.40,"Sulfonated, nitrated or nitrosated derivatives of aromatic products described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2904.99.47,"Other sulfonated, nitrated or nitrosated derivatives of aromatic hydrocarbons excluding aromatic products described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2904.99.50,"Nonaromatic sulfonated, nitrated or nitrosated derivatives of hydrocarbons, nesoi",new,Pharma
2905.11.20,"Methanol (Methyl alcohol), other than imported only for use in producing synthetic natural gas (SNG) or for direct use as fuel",new,Pharma
2905.12.00,Propan-1-ol (Propyl alcohol) and Propan-2-ol (isopropyl alcohol),new,Pharma
2905.13.00,Butan-1-ol (n-Butyl alcohol),new,Pharma
2905.19.10,Pentanol (Amyl alcohol) and isomers thereof,new,Pharma
2905.19.90,"Saturated monohydric alcohols, nesoi",new,Pharma
2905.22.10,Geraniol,new,Pharma
2905.22.20,Isophytol,new,Pharma
2905.22.50,"Acyclic terpene alcohols, other than geraniol and isophytol",new,Pharma
2905.29.90,"Unsaturated monohydric alcohols, other than allyl alcohol or acyclic terpene alcohols",both,Pharma
2905.31.00,Ethylene glycol (Ethanediol),new,Pharma
2905.32.00,"Propylene glycol (Propane-1,2-diol)",new,Pharma
2905.39.90,"Dihydric alcohols (diols), nesoi",both,Pharma
2905.49.20,Esters of glycerol formed with the acids of heading,new,Pharma
2905.49.50,"Polyhydric alcohols, nesoi",new,Pharma
2905.51.00,Ethchlorvynol (INN),new,Pharma
2905.59.10,"Halogenated, sulfonated, nitrated or nitrosated derivatives of monohydric alcohols",both,Pharma
2905.59.90,"Halogenated, sulfonated, nitrated or nitrosated derivatives of acyclic alcohols, nesoi",both,Pharma
2906.11.00,Menthol,new,Pharma
2906.19.50,"Other cyclanic, cyclenic or cycloterpenic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives",both,Pharma
2906.29.60,"Other aromatic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives",both,Pharma
2907.11.00,Phenol (Hydroxybenzene) and its salts,new,Pharma
2907.19.10,Alkylcresols,new,Pharma
2907.19.20,Alkylphenols,new,Pharma
2907.19.40,Thymol,new,Pharma
2907.19.80,Other monophenols,new,Pharma
2907.29.90,"Other polyphenols, nesoi",both,Pharma
2908.19.10,6-Chloro-m-cresol [OH=1]; m-chlorophenol; and chlorothymol,new,Pharma
2908.19.35,Derivatives of phenols or phenol-alcohols containing only halogen substituents and their salts described in additional U.S. note 3 to section VI of the HTSUS,new,Pharma
2908.19.60,"Other halogenated, sulfonated, nitrated or nitrosated derivatives of phenol or phenol-alcohols",both,Pharma
2908.99.12,"Derivatives nesoi, of phenols or phenol-alcohols containing only sulfo groups, their salts and esters, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2908.99.15,"Derivatives of phenol or phenol-alcohols containing only sulfo groups, their salts and esters, nesoi",new,Pharma
2908.99.25,"Nitrophenols, except p-nitrophenol",new,Pharma
2909.11.00,Diethyl ether,new,Pharma
2909.19.18,"Ethers of acyclic monohydric alcohols and their derivatives, nesoi",both,Pharma
2909.19.60,"Ethers of polyhydric alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi",new,Pharma
2909.20.00,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulfonated, nitrated or nitrosated derivatives",both,Pharma
2909.30.40,"Aromatic ethers and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2909.30.60,"Other aromatic ethers and their halogenated, sulfonated, nitrated, or nitrosated derivatives, nesoi",both,Pharma
2909.49.05,Guaifenesin,new,Pharma
2909.49.10,"Other aromatic ether-alcohols, their halogenated, sulfonated, nitrated or nitrosated derivatives described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2909.49.15,"Aromatic ether-alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi",both,Pharma
2909.49.20,Nonaromatic glycerol ethers,both,Pharma
2909.49.60,"Other non-aromatic ether-alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives",both,Pharma
2909.50.20,Guaiacol and its derivatives,new,Pharma
2909.50.40,"Odoriferous or flavoring compounds of ether- phenols, ether-alcohol-phenols and their halogenated, sulfonated, nitrated or nitrosated derivatives",both,Pharma
2909.50.45,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulfonated, nitrated or nitrosated derivatives nesoi, described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2909.50.50,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi",both,Pharma
2910.10.00,Oxirane (Ethylene oxide),new,Pharma
2910.30.00,"1-Chloro-2,3-epoxypropane (Epichlorohydrin)",new,Pharma
2910.40.00,"Dieldrin (ISO, INN)",new,Pharma
2910.50.00,Endrin,new,Pharma
2910.90.10,Butylene oxide,new,Pharma
2910.90.20,"Aromatic epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered ring, and their derivatives, nesoi",new,Pharma
2910.90.91,"Other nonaromatic epoxides, epoxyalcohols and epoxyethers, with a three-membered ring, and their halogenated, sulfonated, nitrated or nitrosated derivatives",new,Pharma
2911.00.10,"1,1-Bis(1-methylethoxy)cyclohexane",new,Pharma
2911.00.50,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulfonated, nitrated or nitrosated derivatives",new,Pharma
2912.19.50,"Acyclic aldehydes without other oxygen function, nesoi",both,Pharma
2912.29.60,Other cyclic aldehydes without other oxygen function,new,Pharma
2912.49.26,"Other aromatic aldehyde-alcohols, aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function",both,Pharma
2912.60.00,Paraformaldehyde,new,Pharma
2914.11.10,"Acetone, derived in whole or in part from cumene",new,Pharma
2914.19.00,"Acyclic ketones without other oxygen function, nesoi",both,Pharma
2914.29.30,Natural camphor,new,Pharma
2914.29.50,"Cyclanic, cyclenic or cycloterpenic ketones without other oxygen function, nesoi",new,Pharma
2914.39.90,"Aromatic ketones without other oxygen function, nesoi",new,Pharma
2914.40.40,"Aromatic ketone-alcohols and ketone-aldehydes, nesoi",new,Pharma
2914.40.90,"Nonaromatic ketone-alcohols and ketone-aldehydes, nesoi",both,Pharma
2914.50.10,5-Benzoyl-4-hydroxy-2-methoxybenzene-sulfonic acid,new,Pharma
2914.50.30,Aromatic ketone-phenols and ketones with other oxygen function,both,Pharma
2914.50.50,Nonaromatic ketone-phenols and ketones with other oxygen function,both,Pharma
2914.62.00,Coenzyme Q10 (ubidecarenone (INN),both,Pharma
2914.69.21,Quinone drugs,both,Pharma
2914.69.90,"Quinones, nesoi",both,Pharma
2914.71.00,"Halogenated, sulfonated, nitrated or nitrosated derivatives: chlordecone (ISO)",new,Pharma
2914.79.10,"2,3-dichloro-1,4-naphthoquinone and other artificial musks",new,Pharma
2914.79.40,"Other halogenated, sulfonated, nitrated or nitrosated derivatives of aromatic ketones and quinones whether or not with other oxygen function",both,Pharma
2914.79.60,1-Chloro-5-hexanone,new,Pharma
2914.79.90,"Other halogenated, sulfonated, nitrated or nitrosated derivatives of nonaromatic ketones and quinones whether or not with other oxygen function",new,Pharma
2915.21.00,Acetic acid,new,Pharma
2915.24.00,Acetic anhydride,new,Pharma
2915.29.30,Cobalt acetates,both,
2915.29.50,Other salts of acetic acid,new,Pharma
2915.32.00,Vinyl acetate,new,Pharma
2915.36.00,Dinoseb (ISO) acetate,new,Pharma
2915.39.10,Benzyl acetate,new,Pharma
2915.39.31,"Aromatic esters of acetic acid, described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2915.39.35,"Aromatic esters of acetic acid, nesoi",both,Pharma
2915.39.40,Linalyl acetate,new,Pharma
2915.39.45,"Odoriferous or flavoring compounds of nonaromatic esters of acetic acid, nesoi",new,Pharma
2915.39.47,Acetates of polyhydric alcohols or of polyhydric alcohol ethers,both,Pharma
2915.39.70,Isobutyl acetate,new,Pharma
2915.39.90,Other non-aromatic esters of acetic acid,both,Pharma
2915.40.10,Chloroacetic acids,new,Pharma
2915.40.20,"Aromatic salts and esters of chlorocetic acids, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2915.40.30,"Aromatic salts and esters of chlorocetic acids, nesoi",new,Pharma
2915.40.50,"Nonaromatic salts and esters of chlorocetic acids, nesoi",new,Pharma
2915.50.20,Aromatic salts and esters of propionic acid,new,Pharma
2915.90.10,"Fatty acids of animal or vegetable origin, nesoi",both,Pharma
2915.90.14,Valproic acid,both,Pharma
2915.90.18,"Saturated acyclic monocarboxylic acids, nesoi",both,Pharma
2915.90.20,"Aromatic anhydrides, halides, peroxides and peroxyacids, of saturated acyclic monocarboxylic acids, and their derivatives, nesoi",both,Pharma
2915.90.50,"Nonaromatic anhydrides, halides, peroxides and peroxyacids, of saturated acyclic monocarboxylic acids, and their derivatives, nesoi",both,Pharma
2916.16.00,Binapacryl (ISO),new,Pharma
2916.19.30,"Unsaturated acyclic monocarboxylic acids, nesoi",both,Pharma
2916.19.50,"Unsaturated acyclic monocarboxylic acid anhydrides, halides, peroxides, peroxyacids and their derivatives, nesoi",both,Pharma
2916.20.50,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives, nesoi",both,Pharma
2916.31.30,"Benzoic acid esters, except odoriferous or flavoring compounds, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2916.31.50,"Benzoic acid esters, nesoi",both,Pharma
2916.39.15,Ibuprofen,new,Pharma
2916.39.17,"2,2-Dichlorophenylacetic acid, ethyl ester and m- Toluic acid",new,Pharma
2916.39.46,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives, described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2916.39.79,"Other aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",both,Pharma
2917.13.00,"Azelaic acid, sebacic acid, their salts and esters",both,Pharma
2917.19.10,Ferrous fumarate,both,Pharma
2917.19.15,"Fumaric acid, derived in whole or in part from aromatic hydrocarbons",new,Pharma
2917.19.17,Fumaric acid except derived in whole or in part from aromatic hydrocarbons,new,Pharma
2917.19.20,"Specified acyclic polycarboxylic acids and their derivatives, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2917.19.23,Maleic acid,new,Pharma
2917.19.27,"Succinic acid, glutaric acid, and their derivatives, and derivatives of adipic, fumeric and maleic acids, nesoi",new,Pharma
2917.19.30,Ethylene brassylate,new,Pharma
2917.19.35,Malonic acid,new,Pharma
2917.19.40,"Acyclic polycarboxylic acids, derived from aromatic hydrocarbons, and their derivatives, nesoi",new,Pharma
2917.19.70,Acyclic polycarboxylic acids and their derivatives (excluding plasticizers),both,Pharma
2917.20.00,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",new,Pharma
2917.34.01,"Esters of orthophthalic acid, nesoi",both,Pharma
2917.37.00,Dimethyl terephthalate,new,Pharma
2917.39.30,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives nesoi, described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2918.11.51,Salts and esters of lactic acid,both,Pharma
2918.12.00,Tartaric acid,new,Pharma
2918.13.50,"Salts and esters of tartaric acid, nesoi",both,Pharma
2918.14.00,Citric acid,new,Pharma
2918.16.50,"Salts and esters of gluconic acid, nesoi",both,Pharma
2918.18.00,Chlorobenzilate (ISO),new,Pharma
2918.19.15,Other Phenylglycolic (Mandelic) acid salts and esters,new,Pharma
2918.19.20,"Aromatic carboxylic acids with alcohol function, without other oxygen functions, and their derivatives, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2918.19.31,"Aromatic carboxylic acids with alcohol function, without other oxygen functions, and their derivatives, nesoi",new,Pharma
2918.19.60,Malic acid,both,Pharma
2918.19.90,"Nonaromatic carboxylic acids with alcohol function, without other oxygen function, and their derivatives, nesoi",both,Pharma
2918.21.10,"Salicylic acid and its salts, suitable for medicinal use",new,Pharma
2918.22.10,O-Acetylsalicylic acid (Aspirin),both,Pharma
2918.22.50,Salts and esters of O-acetylsalicylic acid,both,Pharma
2918.23.10,Salol (Phenyl salicylate) suitable for medicinal use,new,Pharma
2918.23.30,"Esters of salicylic acid and their salts, described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2918.23.50,"Esters of salicylic acid and their salts, nesoi",both,Pharma
2918.29.20,Gentisic acid; and Hydroxycinnamic acid and its salts,both,Pharma
2918.29.22,p-Hydroxybenzoic acid,new,Pharma
2918.29.65,"Carboxylic acids with phenol function but without other oxygen function, described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2918.29.75,Other carboxylic acids with phenol function but without other oxygen function and their derivatives (excluding goods of additional U.S. note 3 to section VI of the HTSUS),both,
2918.30.10,"1-Formylphenylacetic acid, methyl ester",new,Pharma
2918.30.15,"2-Chloro-4,5-difluoro-beta -oxobenzenepropanoic acid, ethyl ester; and Ethyl 2-keto-4-phenylbutanoate",new,Pharma
2918.30.25,"Aromatic carboxylic acids with aldehyde or ketone function but without other oxygen function and their derivatives described in additional U.S. note 3 to section VI of the HTSUS, nesoi",both,Pharma
2918.30.30,"Aromatic carboxylic acids with aldehyde or ketone function but without other oxygen function, and their derivatives, nesoi",both,Pharma
2918.30.70,"Dimethyl acetyl succinate; Oxalacetic acid diethyl ester, sodium salt; 4,4,4-Trifluoro-3-oxobutanoic acid, both ethyl and methyl ester versions",new,Pharma
2918.30.90,"Non-aromatic carboxylic acids with aldehyde or ketone function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives",both,Pharma
2918.99.05,p-Anisic acid; clofibrate and 3-phenoxybenzoic acid,new,Pharma
2918.99.30,"Aromatic drugs derived from carboxylic acids with additional oxygen function, and their derivatives, nesoi",both,Pharma
2918.99.43,"Aromatic carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides, peroxyacids and their derivatives, described in additional U.S. note 3 to section VI of the HTSUS, nesoi",both,Pharma
2918.99.47,"Other aromatic carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides, peroxyacids and their derivatives (excluding goods described in additional U.S. note 3 to section VI of the HTSUS)",both,Pharma
2918.99.50,"Nonaromatic carboxylic acids with additional oxygen function, and their derivatives, nesoi",both,Pharma
2919.10.00,"Tris(2,3-dibromopropyl phosphate)",new,Pharma
2919.90.30,"Aromatic phosphoric esters and their salts, including lactophosphates, and their derivatives, not used as plasticizers",both,Pharma
2919.90.50,"Nonaromatic phosphoric esters and their salts, including lactophosphates, and their derivatives",both,Pharma
2920.19.40,"Other aromatic thiophosphoric esters (phosphorothioates), their salts and their halogenated, sulfonated, nitrated or nitrosated derivatives",new,Pharma
2920.19.50,"Nonaromatic phosphorothioates, their salts and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi",new,Pharma
2920.21.00,Dimethyl phosphite,new,Pharma
2920.22.00,Diethyl phosphite,new,Pharma
2920.23.00,Trimethyl phosphite,new,Pharma
2920.24.00,Triethyl phosphite,new,Pharma
2920.29.00,"Other phosphite esters, their salts and their halogenated, sulfonated, nitrated or nitrosated derivatives",new,Pharma
2920.30.00,Endosulfan (ISO),new,Pharma
2920.90.20,"Aromatic esters of other inorganic acids (excluding hydrogen halides), their salts and their derivatives, nesoi",new,Pharma
2920.90.51,"Nonaromatic esters of inorganic acids of nonmetals, their salts and derivatives, excluding esters of hydrogen halides, nesoi",both,Pharma
2921.11.00,"Methylamine, di- or trimethylamine, and their salts",new,Pharma
2921.14.00,"2-(N,N,-Diisopropylamino)ethyl chloride hydrochloride",new,Pharma
2921.19.11,"Mono- and triethylamines; mono-, di-, and tri(propyl- and butyl-) monoamines; salts of any of the foregoing",both,Pharma
2921.19.61,"N,N-Dialkyl (methyl, ethyl, n-Propyl or Isopropyl)- 2-Chloroethylamines and their protonated salts; Acyclic monoamines and their derivatives, nesoi",both,Pharma
2921.29.00,"Acyclic polyamines, their derivatives and salts, other than ethylenediamine or hexamethylenediamine and their salts",both,Pharma
2921.30.10,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, derivatives and salts, from any aromatic compound described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2921.30.30,"Cyclanic, cyclenic, cycloterpenic mono- or polyamines and their derivatives and salts, derived from any aromatic compound (excluding goods described in additional U.S. note 3 to section VI of the HTSUS)",new,Pharma
2921.30.50,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives and salts, derived from any nonaromatic compounds",both,Pharma
2921.41.10,Aniline,new,Pharma
2921.41.20,Aniline salts,new,Pharma
2921.42.65,"Aniline derivatives and their salts thereof, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2921.42.90,Other aniline derivatives and their salts,both,Pharma
2921.43.40,"Toluidines and their derivatives and salts thereof, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2921.45.60,"Aromatic monoamines and their derivatives and salts thereof, described in additional U.S. note 3 to section VI of the HTSUS, nesoi",new,Pharma
2921.45.90,Aromatic monoamines and their derivatives and salts thereof nesoi,new,Pharma
2921.46.00,"Amfetamine (INN), benzfetamine (INN), dexamfetamine (INN), etilamfetamine (INN), and other specified INNs; salts thereof",both,Pharma
2921.49.38,"Aromatic monoamine antidepressants, tranquilizers and other psychotherapeutic agents,",both,Pharma
2921.49.43,"Aromatic monoamine drugs, nesoi",both,Pharma
2921.49.45,"Aromatic monoamines and their derivatives and salts thereof nesoi, described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2921.49.50,"Aromatic monoamines and their derivatives and salts thereof, nesoi",both,Pharma
2921.59.40,"Aromatic polyamines and their derivatives and salts thereof, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2921.59.80,Aromatic polyamines and their derivatives and salts thereof nesoi,both,Pharma
2922.11.00,Monoethanolamine and its salts,both,Pharma
2922.12.00,Diethanolamine and its salts,new,Pharma
2922.14.00,Dextropropoxyphene (INN) and its salts,both,Pharma
2922.15.00,Triethanolamine,new,Pharma
2922.16.00,Diethylammonium perfluorooctane sulfonate,new,Pharma
2922.17.00,Methyldiethanolamine and ethyldiethanolamine,new,Pharma
2922.18.00,"2-(N,N-Diisopropylamino)ethanol",new,Pharma
2922.19.09,"Aromatic amino-alcohols drugs, their ethers and esters, other than those containing more than one kind of oxygen function, and their salts thereof; nesoi",both,Pharma
2922.19.20,"4,4'-Bis(dimethylamino)benzhydrol (Michler's hydrol) and other specified aromatic amino-alcohols, their ethers and esters, and salts thereof",both,Pharma
2922.19.33,"N1-(2-Hydroxyethyl-2-nitro-1,4-phenylendiamine; N1,N4,N4-tris(2-hydroxyethyl)-2-nitro-1,4- phenylenediamine; and other specified chemicals",both,Pharma
2922.19.60,"Aromatic amino-alcohols, their ethers and esters, other than those containing more than one oxygen function, described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2922.19.70,"Other aromatic amino-alcohols, their ethers and esters, other than those containing more than one oxygen function (excluding goods described in additional U.S. note 3 to section VI of the HTSUS)",both,Pharma
2922.19.90,Salts of triethanolamine,both,Pharma
2922.19.96,"Amino-alcohols, other than those containing more than one kind of oxygen function, their ethers and esters and salts thereof, nesoi",both,Pharma
2922.21.10,"1-Amino-8-hydroxy-3,6-naphthalenedisulfonic acid; and other specified aminohydroxynaphthalenesulfonic acids and their salts",new,Pharma
2922.21.25,"1-Amino-8-hydroxy-4,6-naphthalenedisulfonic acid, monosodium salts",new,Pharma
2922.21.40,"Aminohydroxynaphthalene sulfonic acids and their salts, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2922.21.50,"Aminohydroxynaphthalene sulfonic acids and their salts, nesoi",new,Pharma
2922.29.03,o-Anisidine; p-anisidine; and p-phenetidine,new,Pharma
2922.29.06,m-Nitro-p-anisidine and m-nitro-o-anisidine as fast color bases,new,Pharma
2922.29.08,"m-Nitro-p-anisidine and m-nitro-o-anisidine, nesoi",new,Pharma
2922.29.10,"2-Amino-6-chloro-4-nitrophenol and other specified amino-naphthols and amino-phenols, their ethers and esters; salts thereof",new,Pharma
2922.29.13,"o-Aminophenol; and 2,2-bis-[4-(4- aminophenoxy)phenyl]propane",new,Pharma
2922.29.15,m-Diethylaminophenol; m-dimethylaminophenol; 3- ethylamino-p-cresol; and 5-methoxy-m- phenylenediamine,new,Pharma
2922.29.20,"4-Chloro-2,5-dimethoxyaniline; and 2,4- dimethoxyaniline",new,Pharma
2922.29.26,Amino-naphthols and other amino-phenols and their derivatives used as fast color bases,new,Pharma
2922.29.27,"Drugs of amino-naphthols and -phenols, their ethers and esters, except those containing more than one oxygen function, and salts thereof, nesoi",both,Pharma
2922.29.29,"Photographic chemicals of amino-naphthols and - phenols, their ethers and esters, except those containing more than one oxygen function, and salts thereof, nesoi",new,Pharma
2922.29.61,"Amino-naphthols and other amino-phenols and their derivatives, described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2922.29.81,"Amino-naphthols and other amino-phenols, their ethers and esters (not containing more than one oxygen function), and salts thereof, nesoi",both,Pharma
2922.31.00,"Amfepramone (INN), methadone (INN) and normethadone (INN), and salts thereof",both,Pharma
2922.39.05,"1-Amino-2,4-dibromoanthraquinone and 2-Amino-5- chlorobenzophenone",new,Pharma
2922.39.10,"2'-Amino aceto phenone and other specified aromatic amino-aldehydes, -ketones and -quinones, other than those with more than one oxygen function",new,Pharma
2922.39.14,2-Aminoanthraquinone,new,Pharma
2922.39.17,1-Aminoanthraquinone,new,Pharma
2922.39.25,"Aromatic amino-aldehydes, -ketones and -quinones, other than those with more than one oxygen function, and salts thereof, described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2922.39.45,"Aromatic amino-aldehydes, -ketones and -quinones, other than those with more than one oxygen function, and salts thereof, nesoi",both,Pharma
2922.39.50,"Nonaromatic amino-aldehydes, -ketones and - quinones, other than those with more than one kind of oxygen function, and salts thereof, nesoi",both,Pharma
2922.41.00,Lysine and its esters and salts thereof,both,Pharma
2922.42.10,Monosodium glutamate,new,Pharma
2922.42.50,"Glutamic acid and its salts, other than monosodium glutamate",both,Pharma
2922.43.10,"Anthranilic acid and its salts, described in additional U.S. note 3 to section VI of the HTSUS",new,Pharma
2922.43.50,"Anthranilic acid and its salts, nesoi",new,Pharma
2922.44.00,Tildine (INN) and its salts,both,Pharma
2922.49.05,"(R)-α-Aminobenzeneacetic acid; and 2-amino-3- chlorobenzoic acid, methyl ester",new,Pharma
2922.49.10,"m-Aminobenzoic acid, technical; and other specified aromatic amino-acids and their esters, except those with more than one oxygen function",both,Pharma
2922.49.26,"Aromatic amino-acids drugs and their esters, not containing more than one kind of oxygen function, nesoi",both,Pharma
2922.49.30,"Aromatic amino-acids and their esters, excluding those with more than one oxygen function, and their salts, described in additional U.S. note 3 to section VI of the HTSUS",both,Pharma
2922.49.37,"Aromatic amino-acids and their esters, not containing more than one oxygen function (excluding goods described in additional U.S. note 3 to section VI of the HTSUS), nesoi",both,Pharma
2922.49.43,Glycine (aminoacetic acid),new,Pharma
2922.49.49,"Nonaromatic amino-acids, other than those containing more than one oxygen function, other than glycine",both,Pharma
2922.49.60,"3-Aminocrotonic acid, methyl ester; and (R)-α- amino-1,4-cyclohexadiene-1-acetic acid",new,Pharma
