HS_Code,Description,Exemption_List,Scope_Limitation
0713.60.10,"Dried pigeon pea seeds, of a kind used for sowing",new,
0713.90.11,"Seeds of leguminous vegetables nesoi, of a kind used for sowing",new,
0713.90.50,"Dried guar seeds, shelled",new,
0714.10.10,"Cassava (manioc), frozen, whether or not sliced or in the form of pellets",both,
0714.10.20,"Cassava (manioc), fresh, chilled or dried, whether or not sliced or in the form of pellets",both,
0714.40.10,"Taro (Colocasia spp.), fresh or chilled, whether or not sliced or in the form of pellets",both,
0714.40.20,"Taro (Colocasia spp.), frozen",both,
0714.40.50,"Taro (Colocasia spp.), dried, in the form of pellets",both,
0714.40.60,"Taro (Colocasia spp.), dried, whether or not sliced but not in pellets",both,
0714.50.10,"Yautia (Xanthosoma spp.), fresh or chilled, whether or not sliced or in the form of pellets",both,
0714.50.20,"Yautia (Xanthosoma spp.), frozen",both,
0714.50.60,"Yautia (Xanthosoma spp.), dried, whether or not sliced but not in pellets",both,
0714.90.42,"Other mixtures of Chinese water chestnuts, frozen",both,
0714.90.44,"Chinese water chestnuts, not mixed, frozen",both,
0714.90.46,"Frozen dasheens, arrowroot, salep, Jerusalem artichokes, and similar roots and tubers, nesoi",both,
0714.90.48,"Chinese water chestnuts, dried",both,
0714.90.61,"Dried dasheens, arrowroot, salep, Jerusalem artichokes, and similar roots and tubers nesoi, whether or not sliced but not in pellets",both,
0801.11.00,"Coconuts, desiccated",both,
0801.12.00,"Coconuts, fresh, in the inner shell (endocarp)",both,
0801.19.01,"Coconuts, fresh, not in the inner shell (endocarp)",both,
0801.21.00,"Brazil nuts, fresh or dried, in shell",both,
0801.22.00,"Brazil nuts, fresh or dried, shelled",both,
0801.31.00,"Cashew nuts, fresh or dried, in shell",both,
0801.32.00,"Cashew nuts, fresh or dried, shelled",both,
0802.41.00,"Chestnuts (Castanea spp.), fresh or dried, in shell",both,
0802.42.00,"Chestnuts (Castanea spp.), fresh or dried, shelled",both,
0802.61.00,"Macadamia nuts, in shell",both,
0802.62.00,"Macadamia nuts, shelled",both,
0802.70.10,"Kola nuts (Cola spp.), fresh or dried, in shell",both,
0802.70.20,"Kola nuts (Cola spp.), fresh or dried, shelled",both,
0802.80.10,"Areca nuts, fresh or dried, in shell",both,
0802.80.20,"Areca nuts, fresh or dried, shelled",both,
0802.91.10,"Pignolia pine nuts, fresh or dried, in shell",both,
