HS Code,Description,Status
2825.30.00,Vanadium oxides and hydroxides,New (added in July)
2825.90.20,Tin oxides,New (added in July)
2827.39.25,Tin chlorides,New (added in July)
2827.39.65,Zinc chloride,New (added in July)
2827.60.20,Iodide and iodide oxide of potassium,New (added in July)
2832.10.00,Sodium sulfites,New (added in July)
2832.30.10,Sodium thiosulfate,New (added in July)
2833.11.50,"Disodium sulfate, other than salt cake",New (added in July)
2833.19.00,"Sodium sulfates, other than disodium sulfate",New (added in July)
2833.22.00,Aluminum sulfate,New (added in July)
2834.10.10,Sodium nitrite,New (added in July)
2834.29.10,Calcium nitrate,New (added in July)
2835.22.00,Mono- or disodium phosphates,New (added in July)
2835.24.00,Potassium phosphate,New (added in July)
2836.20.00,Disodium carbonate,New (added in July)
2836.30.00,Sodium hydrogencarbonate (Sodium bicarbonate),New (added in July)
2836.40.20,Potassium hydrogencarbonate (Potassium bicarbonate),New (added in July)
2837.20.51,"Complex cyanides, excluding potassium ferricyanide",New (added in July)
2842.10.00,Double or complex silicates,New (added in July)
2842.90.90,"Salts of inorganic acids or peroxoacids nesoi, excluding azides",New (added in July)
2844.41.00,"Tritium and its compounds, alloys, dispersions, ceramic products and mixtures thereof",New (added in July)
2844.42.00,"Actinium, californium, curium, einsteinium, gadolinium, polonium, radium, uranium and their compounds, alloys, dispersions, ceramic products and mixtures",New (added in July)
2844.44.00,Radioactive residues,New (added in July)
2845.20.00,Boron enriched in boron-10 and its compounds,New (added in July)
2845.30.00,Lithium enriched in lithium-6 and its compounds,New (added in July)
2847.00.00,"Hydrogen peroxide, whether or not solidified with urea",New (added in July)
2850.00.50,"Hydrides, nitrides, azides, silicides and borides other than of calcium, titanium, tungsten or vanadium",New (added in July)
2853.10.00,Cyanogen chloride (Chlorocyan ),New (added in July)
2853.90.50,"Phosphides, whether or not chemically defined, excluding ferrophosphorus, of other metals or of nonmetals",New (added in July)
2901.10.40,"Saturated acyclic hydrocarbon (not ethane, butane, n- pentane or isopentane), derived in whole or in part from petroleum, shale oil or natural gas",New (added in July)
2902.19.00,"Cyclanic hydrocarbons (except cyclohexane), cyclenic hydrocarbons and cycloterpenes nesoi",New (added in July)
2902.90.30,Alkylbenzenes and polyalkylbenzenes,New (added in July)
2903.12.00,Dichloromethane (Methylene chloride),New (added in July)
2903.13.00,Chloroform (Trichloromethane),New (added in July)
2903.22.00,Trichloroethylene,New (added in July)
2903.41.10,Trifluoromethane (HFC-23),New (added in July)
2903.42.10,Difluoromethane (HFC-32),New (added in July)
2903.43.10,"Fluoromethane (HFC-41), 1,2-difluoroethane (HFC- 152) and 1,1-difluoroethane (HFC-152-a)",New (added in July)
2903.44.10,"Pentafluoroethane (HFC-125), 1,1,1-trifluoroethane (HFC-143a) and 1,1,2-trifluoroethane (HFC-143)",New (added in July)
2903.46.10,"1,1,1,2,3,3,3-Heptafluoropropane (HFC- 227ea),1,1,1,2,2,3-hexafluoropropane (HFC- 236cb),1,1,1,2,3,3-hexafluoropropane (HFC-236ea) and 1,1,1,3,3,3-hexafluoropropane (HFC-236fa)",New (added in July)
2903.47.10,"1,1,1,3,3-Pentafluoropropane (HFC-245fa) and 1,1,2,2,3-pentafluoropropane (HFC-245ca)",New (added in July)
