HS Code,Description,Status
2931.90.60,Other aromatic organo-inorganic compounds (excluding products described in additional U.S. note 3 to section VI of the HTSUS),New (added in July)
2932.11.00,Tetrahydrofuran,New (added in July)
2932.19.10,"Aromatic heterocyclic compounds with oxygen hetero-atom(s) only, containing an unfused furan ring, nesoi",New (added in July)
2932.20.05,"Coumarin, methylcoumarins and ethylcoumarins",New (added in July)
2932.20.25,4-Hydroxycoumarin,New (added in July)
2932.20.45,"Aromatic lactones, nesoi",New (added in July)
2932.95.00,Tetrahydrocannabinols (all isomers),New (added in July)
2932.99.04,"2,2-Dimethyl-1,3-benzodioxol-4-yl methylcarbamate (Bendiocarb)",New (added in July)
2932.99.08,"2-Ethoxy-2,3-dihydro-3,3-dimethyl-5- benzofuranylmethanesulfonate",New (added in July)
2932.99.21,"Aromatic pesticides of heterocyclic compounds with oxygen hetero-atom(s) only, nesoi",New (added in July)
2932.99.32,Benzofuran (Coumarone); and Dibenzofuran (Diphenylene oxide),New (added in July)
2932.99.35,2-Hydroxy-3-dibenzofurancarboxylic acid,New (added in July)
2932.99.39,Benzointetrahydropyranyl ester; and Xanthen-9-one,New (added in July)
2932.99.55,Bis-O-[(4-methylphenyl)methylene]-D-glucitol (Dimethylbenzylidene sorbitol); and Rhodamine 2C base,New (added in July)
2933.19.08,3-(5-Amino-3-methyl-1H-pyrazol-1- yl)benzenesulfonic acid; amino-J-pyrazolone; and another 12 specified chemicals,New (added in July)
2933.19.23,Aromatic or modified aromatic pesticides containing an unfused pyrazole ring (whether or not hydrogenated) in the structure,New (added in July)
2933.19.37,"Aromatic or modified aromatic compounds, described in additional U.S. note 3 to section VI of",New (added in July)
2933.19.43,"Aromatic or modified aromatic compounds (excluding products described in additional U.S. note 3 to section VI of the HTSUS), containing an unfused pyrazole ring in the structure",New (added in July)
2933.29.10,2-Phenylimidazole,New (added in July)
2933.31.00,Pyridine and its salts,New (added in July)
2933.36.00,4-Anilino-N-phenethylpiperidine (ANPP),New (added in July)
2933.55.00,"Loprazolam (INN), mecloqualone (INN), methaqualone (INN) and zipeprol (INN); salts thereof",New (added in July)
2933.69.50,Hexamethylenetetramine,New (added in July)
2933.79.04,"2,4-Dihydro-3,6-diphenylpyrrolo-(3,4-C)pyrrole-1,4- dione",New (added in July)
2933.79.20,N-Methyl-2-pyrrolidone; and 2-pyrrolidone,New (added in July)
2933.79.30,"N-Vinyl-2-pyrrolidone, monomer",New (added in July)
2933.79.40,12-Aminododecanoic acid lactam,New (added in July)
2933.99.14,5-Amino-4-chloro-a-phenyl-3-pyridazinone,New (added in July)
2934.10.70,"4,5-Dichloro-2-n-octyl-4-isothiazolin-3-one; thiothiamine hydrochloride; and 4 other specified chemicals",New (added in July)
2934.30.18,"Ethyl (1H-phenothiazin-2,4,1)carbamate",New (added in July)
2935.90.29,Acetylsulfaguanidine,New (added in July)
2939.43.00,Cathine (INN) and its salts,New (added in July)
2939.51.00,Fenetylline (INN) its salts,New (added in July)
2939.61.00,Ergometrine and its salts,New (added in July)
2942.00.03,"[2,2'-Thiobis(4-(1,1,3,3-tetramethyl-n- butyl)phenolato)(2,1)]-O,O',S-(1-butanamine), nickel II",New (added in July)
2942.00.10,"Aromatic or modified aromatic organic compounds, nesoi, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
3003.31.00,"Medicaments containing insulin, not in dosage form and not packed for retail",New (added in July)
3003.43.00,"Medicaments containing norephedrine or its salts, not in dosage form and not packed for retail",New (added in July)
3003.60.00,"Other medicaments containing antimalarial active principles described in subheading note 2 to this chapter, not dosage form and not packed for retail",New (added in July)
3004.43.00,"Medicaments containing norephedrine or its salts, in dosage form or packed for retail",New (added in July)
3006.92.00,Waste pharmaceuticals,New (added in July)
3204.13.60,"Basic dyes and preparations based thereon, described in additional U.S note 3 to section VI of the HTSUS",New (added in July)
3204.90.00,"Synthetic organic coloring matter or preparations based thereon, nesoi; synthetic organic products used as luminophores",New (added in July)
3401.30.10,"Organic surface-active products for washing skin, in liquid or cream form, containing any aromatic or",New (added in July)
3402.50.11,"Preparations of organic surface-active agents, put up for retail sale, containing any aromatic or modified aromatic surface-active agent",New (added in July)
3507.90.70,"Enzymes and prepared enzymes, nesoi",New (added in July)
3802.10.00,Activated carbon,New (added in July)
3808.59.40,Disinfectants specified in subheading note 1 to chapter 38,New (added in July)
3808.59.50,"Pesticides, nesoi, specified in subheading note 1 to chapter 38",New (added in July)
3808.61.50,"Pesticides, nesoi, not exceeding 300g, specified in subheading note 2 to chapter 38",New (added in July)
3812.31.00,"Mixtures of oligomers of 2,2,4-trimethyl-1,2- dihydroquinoline (TMQ)",New (added in July)
3815.11.00,Supported catalysts with nickel or nickel compounds as the active substance,New (added in July)
3815.12.00,Supported catalysts with precious metal or precious metal compounds as the active substance,New (added in July)
3815.90.50,"Reaction initiators, reaction accelerators and catalytic preparations, nesoi",New (added in July)
3824.81.00,Chemical mixtures containing oxirane (ethylene oxide),New (added in July)
3824.82.10,"Goods specified in subheading note 3 to chapter 38, containing PCBs, PCTs or PBBs, chlorinated but not otherwise halogenated, nesoi",New (added in July)
3824.82.90,"Goods specified in subheading note 3 to chapter 38, containing PCBs, PCTs or PBBs, other than chlorinated only, nesoi",New (added in July)
3824.83.00,"Containing tris(2,3-dibromopropyl) phosphate",New (added in July)
3824.84.00,"Other mixtures containing aldrin, camphechlor (toxaphene), chlordane, chlordecone, DDT (clofenatone), 1,1,1-trichloro-2,2-bis(p- chlorophenyl)ethane), dieldrin, endosulfan, endrin, heptachlor or mirex",New (added in July)
3824.85.00,"Mixtures containing 1,2,3,4,5,6- hexachlorocyclohexane (HCH (ISO)), including lindane (ISO,INN)",New (added in July)
3824.86.00,Mixtures containing pentachlorobenzene (ISO) or hexachlorobenzene (ISO),New (added in July)
3824.87.00,"Mixtures containing perfluorooctane sulfonic acid, its salts, perfluorooctane sulfonamides, or perfluorooctane sulfonyl fluoride",New (added in July)
3824.88.00,"Mixtures containing tetra-, penta-, hexa-, hepta-, or octabromodiphenyl ethers",New (added in July)
3824.89.00,Mixtures containing short-chain chlorinated paraffins,New (added in July)
3824.92.00,Polyglycol esters mixtures of methylphosphonic acid,New (added in July)
3824.99.25,"Mixtures of triphenyl sulfonium chloride, diphenyl (4-phenylthio)phenyl sulfonium chloride and (thiodi- 4,1- phenylene)bis(diphenyl sulfonium) dichloride",New (added in July)
3824.99.50,Mixtures chlorinated but not otherwise halogenated,New (added in July)
3824.99.93,"Chemical products and preparations and residual products of the chemical or allied industries, nesoi",New (added in July)
3826.00.30,Biodiesel containing less than 70 percent petroleum or bituminous oil,New (added in July)
3827.13.00,Mixtures containing carbon tetrachloride,New (added in July)
3827.14.00,Mixtures containing methyl chloroform,New (added in July)
3827.40.00,Mixtures containing bromomethane or bromochloromethane,New (added in July)
3905.91.50,"Copolymers of vinyl esters or other vinyls, in primary forms, nesoi",New (added in July)
3907.29.00,"Polyethers, other than polyacetals or bis(polyoxyethylene) methylphosphonate, in primary forms",New (added in July)
3907.30.00,Epoxide resins in primary forms,New (added in July)
3907.61.00,"Polyethylene terephthalate, having a viscosity number of 78 ml/g or higher",New (added in July)
3907.69.00,"Polyethylene terephthalate, having a viscosity number less than 78 ml/g",New (added in July)
3907.99.50,"Other polyesters nesoi, saturated, in primary forms",New (added in July)
3908.90.20,Bis(4-amino-3- methylcyclohexyl)methaneisophthalic acid- laurolactam copolymer,New (added in July)
3909.10.00,Urea resins; thiourea resins,New (added in July)
3909.40.00,Phenolic resins,New (added in July)
3910.00.00,Silicones in primary forms,New (added in July)
3911.20.00,"Poly(1,3-phenylene methylphosphonate)",New (added in July)
3911.90.45,"Thermosetting polysulfides, polysulfones and other products specified in note 3 to chapter 39, containing aromatic monomer units or derived therefrom",New (added in July)
3912.20.00,"Cellulose nitrates (including collodions), in primary forms",New (added in July)
3914.00.20,Cross-linked polyvinylbenzyltrimethylammonium chloride (Cholestyramine resin USP),New (added in July)
4113.30.30,"Reptile leather, not fancy, further prepared after tanning or crusting, other than leather of heading 4114",New (added in July)
4113.30.60,"Reptile leather, fancy, further prepared after tanning or crusting, other than leather of heading 4114",New (added in July)
4113.90.30,"Leather of animals nesoi, without hair on, not fancy, further prepared after tanning or crusting, other than leather of heading 4114",New (added in July)
4113.90.60,"Leather of animals nesoi, without hair on, fancy, further prepared after tanning or crusting, other than leather of heading 4114",New (added in July)
4403.98.00,"Eucalyptus wood in the rough/roughly squared, not treated with preservatives",New (added in July)
4407.99.0295,"Nonconiferous wood, nesoi, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick; other",New (added in July)
4412.33.57,"Eucalyptus plywood sheets n/o 6mm thick, outerply of specified nonconiferous wood including birch and walnut, surface covered beyond clear/transparen",New (added in July)
6309.00.00,Worn clothing and other worn articles,New (added in July)
7112.30.01,"Ash containing precious metals or precious metal compounds, other than goods of e-waste heading 8549",New (added in July)
7201.10.00,Nonalloy pig iron containing by weight 0.5 percent or less of phosphorus,New (added in July)
7201.20.00,Nonalloy pig iron containing by weight more than 0.5 percent of phosphorus,New (added in July)
7201.50.30,Alloy pig iron in blocks or other primary forms,New (added in July)
7203.10.00,Ferrous products obtained by direct reduction of iron ore,New (added in July)
7203.90.00,"Spongy ferrous products, in lumps, pellets or like forms; iron of a minimum purity by weight of 99.94% in lumps, pellets or like forms",New (added in July)
7204.10.00,Cast iron waste and scrap,New (added in July)
7204.29.00,Alloy steel (o/than stainless) waste and scrap,New (added in July)
7204.30.00,Tinned iron or steel waste and scrap,New (added in July)
7204.41.00,"Ferrous turnings, shavings, chips, milling wastes, sawdust, fillings, trimmings and stampings, whether or not in bundles",New (added in July)
7204.49.00,Ferrous waste and scrap nesoi,New (added in July)
7204.50.00,Iron or steel remelting scrap ingots,New (added in July)
7602.00.00,"Aluminum, waste and scrap",New (added in July)
8112.99.20,"Vanadium, nesoi, and articles thereof",New (added in July)
8549.13.00,"Waste/scrap of batteries/accumulators; spent batteries/accumulators (o/t lead-acid), sorted and not containing lead/cadmium/mercury",New (added in July)
9030.82.00,"Instruments and apparatus for measuring or checking electrical quantities, nesoi: for measuring or checking semiconductor wafers or devices",New (added in July)
9031.41.00,Optical measuring/checking instruments/appliances for inspecting semiconductor wafers/devices or photomasks/reticle used to mfg such devices,New (added in July)
9031.49.70,Optical instrument & appliance: to inspect masks (not photomask) used to mfg semiconductor devices; to measure contamination on such devices,New (added in July)
9601.90.20,"Shell, worked and articles thereof",New (added in July)
9701.21.00,"Paintings, drawings (o/than of 4906) and pastels, executed entirely by hand, of an age exceeding 100 years",New (added in July)
9701.22.00,"Mosaics, of an age exceeding 100 years",New (added in July)
9701.29.00,"Collages and similar decorative plaques, executed entirely by hand, of an age exceeding 100 years",New (added in July)
9701.91.00,"Paintings, drawings (o/than of 4906) and pastels, executed entirely by hand, of an age 100 years or less",New (added in July)
9701.92.00,"Mosaics, of an age 100 years or less",New (added in July)
9701.99.00,"Collages and similar decorative plaques, executed entirely by hand, of an age 100 years or less",New (added in July)
9702.10.00,"Original engravings, prints and lithographs, whether or not framed, of an age exceeding 100 years",New (added in July)
9702.90.00,"Original engravings, prints and lithographs, whether or not framed, of an age 100 years or less",New (added in July)
9703.10.00,"Original sculptures and statuary, in any material, of an age exceeding 100 years",New (added in July)
9703.90.00,"Original sculptures and statuary, in any material, of an age 100 years or less",New (added in July)
9704.00.00,"Postage or revenue stamps, stamp-postmarks, first- day covers, postal stationery, and the like, used or unused, other than heading 4907",New (added in July)
9705.10.00,"Collections and collectors' pieces of archeological, ethnographic or historical interest",New (added in July)
9705.21.00,"Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical interest, human specimens and parts thereof",New (added in July)
9705.22.00,"Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical interest, extinct or endangered species and parts thereof",New (added in July)
9705.29.00,"Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical interest, o/than human specimens or extinct/endangered species",New (added in July)
9705.31.00,"Collections and collectors' pieces of numismatic interest, of an age exceeding 100 years",New (added in July)
9705.39.00,"Collections and collectors' pieces of numismatic interest, of an age 100 years or less",New (added in July)
9706.10.00,Antiques of an age exceeding 250 years,New (added in July)
9706.90.00,Antiques of an age exceeding 100 years but not exceeding 250 years,New (added in July)
