HS Code,Description,New or Existing,Applies To,Scope Limitation
8103.99.00,"Tantalum, articles other than crucibles, nesoi",Existing,All investigated economies (universal list),
8104.11.00,"Magnesium, unwrought, containing at least 99.8 percent by weight of magnesium",Existing,All investigated economies (universal list),
8104.19.00,"Magnesium, unwrought, nesoi",Existing,All investigated economies (universal list),
8104.20.00,"Magnesium, waste and scrap",Existing,All investigated economies (universal list),
8104.30.00,"Magnesium, raspings, turnings and granules graded according to size; magnesium powders",Existing,All investigated economies (universal list),
8104.90.00,"Magnesium, articles nesoi",Existing,All investigated economies (universal list),
8105.20.30,"Cobalt alloys, unwrought",Existing,All investigated economies (universal list),
8105.20.60,"Cobalt (other than alloys), unwrought",Existing,All investigated economies (universal list),
8105.20.90,"Cobalt, mattes and other intermediate products of cobalt metallurgy; cobalt powders",Existing,All investigated economies (universal list),
8105.30.00,Cobalt waste and scrap,Existing,All investigated economies (universal list),
8105.90.00,"Cobalt, articles thereof nesoi",Existing,All investigated economies (universal list),
8106.10.00,"Bismuth (including waste and scrap) and articles thereof, containing more than 99.99 percent of bismuth by weight",Existing,All investigated economies (universal list),
8106.90.00,"Bismuth (including waste and scrap) and articles thereof, containing 99.99 percent of bismuth or less, nesoi",Existing,All investigated economies (universal list),
8108.20.00,"Titanium, unwrought; titanium powders",Existing,All investigated economies (universal list),
8108.30.00,Titanium waste and scrap,Existing,All investigated economies (universal list),
8108.90.30,"Titanium, articles nesoi",Existing,All investigated economies (universal list),
8108.90.60,"Wrought titanium, nesoi",Existing,All investigated economies (universal list),
8110.10.00,"Antimony, unwrought; antimony powders",Existing,All investigated economies (universal list),
8110.20.00,Antimony waste and scrap,Existing,All investigated economies (universal list),
8110.90.00,"Articles of antimony, nesoi",Existing,All investigated economies (universal list),
8111.00.47,Unwrought manganese flake containing at least 99.5 percent by weight of manganese,Existing,All investigated economies (universal list),
8111.00.49,"Unwrought manganese, nesoi",Existing,All investigated economies (universal list),
8112.21.00,"Chromium, unwrought; chromium powders",Existing,All investigated economies (universal list),
8112.22.00,Chromium waste and scrap,Existing,All investigated economies (universal list),
8112.29.00,"Articles of chromium, nesoi",Existing,All investigated economies (universal list),
8112.41.10,"Rhenium, waste and scrap",Existing,All investigated economies (universal list),
8112.41.50,"Rhenium, unwrought; rhenium powders",Existing,All investigated economies (universal list),
8112.49.00,"Rhenium, articles, nesoi",Existing,All investigated economies (universal list),
8112.59.00,"Articles of thallium, nesoi",Existing,All investigated economies (universal list),
8112.92.10,"Gallium, unwrought; gallium powders",Existing,All investigated economies (universal list),
8112.92.30,"Indium, unwrought; indium powders",Existing,All investigated economies (universal list),
8112.92.40,"Niobium (columbium), unwrought; niobium powders",Existing,All investigated economies (universal list),
8112.92.60,"Germanium, unwrought",Existing,All investigated economies (universal list),
8112.92.65,"Germanium powder, wrought",Existing,All investigated economies (universal list),
8112.99.10,Germanium nesoi and articles thereof,Existing,All investigated economies (universal list),
8112.99.20,"Vanadium, nesoi, and articles thereof",New,All investigated economies (universal list),
8112.99.91,"Articles of gallium, indium, or niobium, nesoi",Existing,All investigated economies (universal list),
8302.10.60,"Iron or steel, aluminum, or zinc hinges and base metal parts thereof, not designed for motor vehicles",Existing,All investigated economies (universal list),Aircraft
8302.10.90,Base metal (other than iron or steel or aluminum or zinc) hinges and base metal parts thereof,Existing,All investigated economies (universal list),Aircraft
8302.20.00,Base metal castors and base metal parts thereof,Existing,All investigated economies (universal list),Aircraft
8302.42.30,"Iron or steel, aluminum, or zinc mountings, fittings and similar articles, suitable for furniture, and base metal parts thereof",Existing,All investigated economies (universal list),Aircraft
8302.42.60,"Base metal (other than iron or steel or aluminum or zinc) mountings, fittings and similar articles, suitable for furniture, and base metal parts thereof",Existing,All investigated economies (universal list),Aircraft
8302.49.40,"Base metal harness, saddlery or riding-bridle hardware, not coated or plated with precious metal, and base metal parts thereof",Existing,All investigated economies (universal list),Aircraft
8302.49.60,"Iron or steel, aluminum, or zinc, mountings, fittings and similar articles nesoi, and base metal parts thereof",Existing,All investigated economies (universal list),Aircraft
8302.49.80,"Base metal (other than iron or steel or aluminum or zinc) mountings, fittings and similar articles nesoi, and base metal parts thereof",Existing,All investigated economies (universal list),Aircraft
8302.60.30,Base metal automatic door closers,Existing,All investigated economies (universal list),Aircraft
8307.10.30,"Iron or steel flexible tubing, with fittings",Existing,All investigated economies (universal list),Aircraft
8307.90.30,"Base metal (other than iron or steel) flexible tubing, with fittings",Existing,All investigated economies (universal list),Aircraft
8407.10.00,Spark-ignition reciprocating or rotary internal combustion piston engines for use in aircraft,Existing,All investigated economies (universal list),Aircraft
8408.90.90,"Compression-ignition internal-combustion piston engines, for machinery or equipment, nesoi",Existing,All investigated economies (universal list),Aircraft
8409.10.00,Parts for internal combustion aircraft engines,Existing,All investigated economies (universal list),Aircraft
8411.11.40,Aircraft turbojets of a thrust not exceeding 25 kN,Existing,All investigated economies (universal list),Aircraft
8411.11.80,"Turbojets of a thrust not exceeding 25 kN, other than aircraft",Existing,All investigated economies (universal list),Aircraft
8411.12.40,Aircraft turbojets of a thrust exceeding 25 kN,Existing,All investigated economies (universal list),Aircraft
8411.12.80,"Turbojets of a thrust exceeding 25 kN, other than aircraft",Existing,All investigated economies (universal list),Aircraft
8411.21.40,"Aircraft turbopropellers of a power not exceeding 1,100 kW",Existing,All investigated economies (universal list),Aircraft
8411.21.80,"Turbopropellers of a power not exceeding 1,100 kW, other than aircraft",Existing,All investigated economies (universal list),Aircraft
8411.22.40,"Aircraft turbopropellers of a power exceeding 1,100 kW",Existing,All investigated economies (universal list),Aircraft
8411.22.80,"Turbopropellers of a power exceeding 1,100 kW, other than aircraft",Existing,All investigated economies (universal list),Aircraft
8411.81.40,"Aircraft gas turbines other than turbojets or turbopropellers, of a power not exceeding 5,000 kW",Existing,All investigated economies (universal list),Aircraft
8411.82.40,"Aircraft gas turbines other than turbojets or turbopropellers, of a power exceeding 5,000 kW",Existing,All investigated economies (universal list),Aircraft
8411.91.10,"Cast-iron parts of turbojets or turbopropellers, not advanced beyond cleaning, machined only for removal of fins, gates, sprues and risers, or to permit location in machinery",Existing,All investigated economies (universal list),Aircraft
8411.91.90,Parts of turbojets or turbopropellers other than those of subheading 8411.91.10,Existing,All investigated economies (universal list),Aircraft
8411.99.10,"Cast-iron parts of gas turbines nesoi, not advanced beyond cleaning, and machined for removal of fins, gates, sprues and risers",Existing,All investigated economies (universal list),Aircraft
8411.99.90,"Parts of gas turbines nesoi, other than those of subheading 8411.99.10",Existing,All investigated economies (universal list),Aircraft
8412.10.00,Reaction engines other than turbojets,Existing,All investigated economies (universal list),Aircraft
8412.21.00,"Hydraulic power engines and motors, linear acting (cylinders)",Existing,All investigated economies (universal list),Aircraft
8412.29.40,Hydrojet engines for marine propulsion,Existing,All investigated economies (universal list),Aircraft
8412.29.80,"Hydraulic power engines and motors, nesoi",Existing,All investigated economies (universal list),Aircraft
8412.31.00,"Pneumatic power engines and motors, linear acting (cylinders)",Existing,All investigated economies (universal list),Aircraft
8412.39.00,"Pneumatic power engines and motors, other than linear acting",Existing,All investigated economies (universal list),Aircraft
8412.80.10,Spring-operated and weight-operated motors,Existing,All investigated economies (universal list),Aircraft
8412.80.90,"Engines and motors, nesoi (excluding motors of heading 8501)",Existing,All investigated economies (universal list),Aircraft
8412.90.90,Parts for engines of heading 8412 other than hydrojet engines for marine propulsion,Existing,All investigated economies (universal list),Aircraft
8413.19.00,"Pumps for liquids fitted or designed to be fitted with a measuring device, nesoi",Existing,All investigated economies (universal list),Aircraft
8413.20.00,"Hand pumps other than those of subheading 8413.11 or 8413.19, not fitted with a measuring device",Existing,All investigated economies (universal list),Aircraft
8413.30.10,"Fuel-injection pumps for compression-ignition engines, not fitted with a measuring device",Existing,All investigated economies (universal list),Aircraft
8413.30.90,"Fuel, lubricating or cooling medium pumps for internal-combustion piston engines, not fitted with a measuring device, nesoi",Existing,All investigated economies (universal list),Aircraft
8413.50.00,"Reciprocating positive displacement pumps for liquids, not fitted with a measuring device, nesoi",Existing,All investigated economies (universal list),Aircraft
8413.60.00,"Rotary positive displacement pumps for liquids, not fitted with a measuring device, nesoi",Existing,All investigated economies (universal list),Aircraft
8413.70.10,"Stock pumps imported for use with machines for making cellulosic pulp, paper or paperboard, not fitted with a measuring device",Existing,All investigated economies (universal list),Aircraft
8413.70.20,"Centrifugal pumps for liquids, not fitted with a measuring device, nesoi",Existing,All investigated economies (universal list),Aircraft
8413.81.00,"Pumps for liquids, not fitted with a measuring device, nesoi",Existing,All investigated economies (universal list),Aircraft
8413.91.10,Parts of fuel-injection pumps for compression- ignition engines,Existing,All investigated economies (universal list),Aircraft
8413.91.20,"Parts of stock pumps imported for use with machines for making cellulosic pulp, paper or paperboard",Existing,All investigated economies (universal list),Aircraft
8413.91.90,"Parts of pumps, nesoi",Existing,All investigated economies (universal list),Aircraft
8414.10.00,Vacuum pumps,Existing,All investigated economies (universal list),Aircraft
8414.20.00,Hand-operated or foot-operated air pumps,Existing,All investigated economies (universal list),Aircraft
8414.30.40,Compressors of a kind used in refrigerating equipment (including air conditioning) not exceeding 1/4 horsepower,Existing,All investigated economies (universal list),Aircraft
8414.30.80,Compressors of a kind used in refrigerating equipment (including air conditioning) exceeding 1/4 horsepower,Existing,All investigated economies (universal list),Aircraft
8414.51.30,"Ceiling fans for permanent installation, with a self- contained electric motor of an output not exceeding 125 W",Existing,All investigated economies (universal list),Aircraft
8414.51.90,"Table, floor, wall, window or roof fans, with a self- contained electric motor of an output not exceeding 125 W",Existing,All investigated economies (universal list),Aircraft
8414.59.30,Turbocharger and supercharger fans,Existing,All investigated economies (universal list),Aircraft
8414.59.65,"Other fans, nesoi",Existing,All investigated economies (universal list),Aircraft
8414.80.05,Turbocharger and supercharger air compressors,Existing,All investigated economies (universal list),Aircraft
8414.80.16,"Air compressors, nesoi",Existing,All investigated economies (universal list),Aircraft
8414.80.20,"Gas compressors, nesoi",Existing,All investigated economies (universal list),Aircraft
8414.80.90,"Air or gas pumps, compressors and fans, nesoi",Existing,All investigated economies (universal list),Aircraft
8414.90.10,Parts of fans (including blowers) and ventilating or recycling hoods,Existing,All investigated economies (universal list),Aircraft
8414.90.30,Stators and rotors of goods of subheading 8414.30,Existing,All investigated economies (universal list),Aircraft
8414.90.41,"Parts of air or gas compressors, nesoi",Existing,All investigated economies (universal list),Aircraft
8414.90.91,"Parts of air or vacuum pumps, ventilating or recycling hoods, gas-tight biological safety cabinets",Existing,All investigated economies (universal list),Aircraft
8415.10.60,"Window or wall type air conditioning machines, split-system, incorporating a refrigerating unit and valve for reversal of cooling/heat cycle",Existing,All investigated economies (universal list),Aircraft
8415.10.90,"Window or wall type air conditioning machines, split-system, nesoi",Existing,All investigated economies (universal list),Aircraft
8415.81.01,"Air conditioning machines incorporating a refrigerating unit and valve for reversal of cooling/heat cycle, nesoi",Existing,All investigated economies (universal list),Aircraft
8415.82.01,"Air conditioning machines incorporating a refrigerating unit, nesoi",Existing,All investigated economies (universal list),Aircraft
8415.83.00,Air conditioning machines not incorporating a refrigerating unit,Existing,All investigated economies (universal list),Aircraft
8415.90.40,"Chassis, chassis bases and other outer cabinets for air conditioning machines,",Existing,All investigated economies (universal list),Aircraft
8415.90.80,"Parts for air conditioning machines, nesoi",Existing,All investigated economies (universal list),Aircraft
8418.10.00,"Combined refrigerator-freezers, fitted with separate external doors, electric or other",Existing,All investigated economies (universal list),Aircraft
8418.30.00,"Freezers of the chest type, not exceeding 800 liters capacity, electric or other",Existing,All investigated economies (universal list),Aircraft
8418.40.00,"Freezers of the upright type, not exceeding 900 liters capacity, electric or other",Existing,All investigated economies (universal list),Aircraft
8418.61.01,"Heat pumps, other than the air-conditioning machines of heading 8415",Existing,All investigated economies (universal list),Aircraft
8418.69.01,Refrigerating or freezing equipment nesoi,Existing,All investigated economies (universal list),Aircraft
8419.50.10,Brazed aluminum plate-fin heat exchangers,Existing,All investigated economies (universal list),Aircraft
8419.50.50,"Heat exchange units, nesoi",Existing,All investigated economies (universal list),Aircraft
8419.81.50,"Cooking stoves, ranges and ovens, other than microwave, for making hot drinks or for cooking or heating food, not used for domestic purposes",Existing,All investigated economies (universal list),Aircraft
8419.81.90,"Machinery and equipment nesoi, for making hot drinks or for cooking or heating food, not used for domestic purposes",Existing,All investigated economies (universal list),Aircraft
8419.90.10,Parts of instantaneous or storage water heaters,Existing,All investigated economies (universal list),Aircraft
8419.90.20,"Parts of machinery and plant, for making paper pulp, paper or paperboard",Existing,All investigated economies (universal list),Aircraft
8419.90.30,Parts of heat exchange units,Existing,All investigated economies (universal list),Aircraft
8419.90.50,"Parts of molten-salt-cooled acrylic acid reactors, nesoi; parts of certain medical, surgical or laboratory sterilizers, nesoi",Existing,All investigated economies (universal list),Aircraft
8419.90.85,"Parts of electromechanical tools for work in the hand, with self-contained electric motor, for treatment of materials by change in temperature",Existing,All investigated economies (universal list),Aircraft
8421.19.00,"Centrifuges, other than cream separators or clothes dryers",Existing,All investigated economies (universal list),Aircraft
8421.21.00,Machinery and apparatus for filtering or purifying water,Existing,All investigated economies (universal list),Aircraft
8421.23.00,Oil or fuel filters for internal combustion engines,Existing,All investigated economies (universal list),Aircraft
8421.29.00,"Filtering or purifying machinery and apparatus for liquids, nesoi",Existing,All investigated economies (universal list),Aircraft
8421.31.00,Intake air filters for internal combustion engines,Existing,All investigated economies (universal list),Aircraft
8421.32.00,Catalytic converters; particulate filters for internal combustion engines,Existing,All investigated economies (universal list),Aircraft
8421.39.01,"Filtering or purifying machinery and apparatus for gases, other than intake air filters or catalytic converters, for internal combustion engines",Existing,All investigated economies (universal list),Aircraft
8424.10.00,"Fire extinguishers, whether or not charged",Existing,All investigated economies (universal list),Aircraft
8425.11.00,"Pulley tackle and hoists other than skip hoists or hoists used for raising vehicles, powered by electric motor",Existing,All investigated economies (universal list),Aircraft
8425.19.00,"Pulley tackle and hoists other than skip hoists or hoists used for raising vehicles, not powered by electric motor",Existing,All investigated economies (universal list),Aircraft
8425.31.01,"Winches nesoi, and capstans, powered by electric motor",Existing,All investigated economies (universal list),Aircraft
8425.39.01,"Winches nesoi, and capstans, not powered by electric motor",Existing,All investigated economies (universal list),Aircraft
8425.42.00,"Hydraulic jacks and hoists, nesoi",Existing,All investigated economies (universal list),Aircraft
8425.49.00,"Jacks and hoists of a kind used for raising vehicles, other than hydraulic, nesoi",Existing,All investigated economies (universal list),Aircraft
8426.99.00,"Derricks, cranes and other lifting machinery nesoi",Existing,All investigated economies (universal list),Aircraft
8428.10.00,Passenger or freight elevators other than continuous action; skip hoists,Existing,All investigated economies (universal list),Aircraft
8428.20.00,Pneumatic elevators and conveyors,Existing,All investigated economies (universal list),Aircraft
8428.33.00,"Belt type continuous-action elevators and conveyors, for goods or materials",Existing,All investigated economies (universal list),Aircraft
8428.39.00,"Continuous-action elevators and conveyors, for goods or materials, nesoi",Existing,All investigated economies (universal list),Aircraft
8428.90.03,"Machinery for lifting, handling, loading or unloading, nesoi",Existing,All investigated economies (universal list),Aircraft
8443.31.00,"Multifunction units (machines which perform two or more of the functions of printing, copying or facsimile transmission, capable of connecting to an automatic data processing machine or to a network)",Existing,All investigated economies (universal list),Aircraft
8443.32.10,"Printer units, capable of connecting to an automatic data processing machine or to a network",Existing,All investigated economies (universal list),Aircraft
8443.32.50,"Single function units other than printer units (machines which perform only one of the functions of printing, copying or facsimile transmission)",Existing,All investigated economies (universal list),Aircraft
8471.30.01,"Portable automatic data processing machines, not over 10 kg, consisting at least a central processing unit, keyboard and display",Existing,All investigated economies (universal list),
8471.41.01,"Automatic data processing machines, nonportable or over 10 kg, comprising in the same housing at least a central processing unit and an input and output unit, whether or not combined",Existing,All investigated economies (universal list),
8471.49.00,"Automatic data processing machines, nesoi, entered in the form of systems (consisting of at least a central processing unit, and an input and output unit)",Existing,All investigated economies (universal list),
8471.50.01,"Processing units other than those of subheading 8471.41 and 8471.49, nesoi",Existing,All investigated economies (universal list),
8471.60.10,Combined input/output units for automatic data processing machines not entered with the rest of a system,Existing,All investigated economies (universal list),
8471.60.20,Keyboards for automatic data processing machines not entered with the rest of a system,Existing,All investigated economies (universal list),
8471.60.70,"Input or output units suitable for physical incorporation into an automatic data processing machine or unit thereof, nesoi, not entered with the rest of a system",Existing,All investigated economies (universal list),
8471.60.80,Optical scanners and magnetic ink recognition devices not entered with the rest of an automatic data processing system,Existing,All investigated economies (universal list),
8471.60.90,"Other input or output units of digital automatic data processing machines, nesoi, not entered with the rest of a system",Existing,All investigated economies (universal list),
8471.70.10,"Automatic data processing magnetic disk drive storage units, disk diameter exceeding 21 cm, without read-write unit assembled therein; read-write units; all not entered with the rest of a system",Existing,All investigated economies (universal list),
8471.70.20,"Automatic data processing magnetic disk drive storage units, disk diameter exceeding 21 cm, for incorporation into automatic data processing machines or units, not entered with the rest of a system",Existing,All investigated economies (universal list),
8471.70.30,"Automatic data processing magnetic disk drive storage units, disk diameter exceeding 21 cm, nesoi, not entered with the rest of a system",Existing,All investigated economies (universal list),
8471.70.40,"Automatic data processing magnetic disk drive storage units, disk diameter not exceeding 21 cm, not assembled in cabinets, without attached external power supply, not entered with the rest of a system",Existing,All investigated economies (universal list),
8471.70.50,"Automatic data processing magnetic disk drive storage units, disk diameter not exceeding 21 cm, nesoi, not entered with the rest of a system",Existing,All investigated economies (universal list),
8471.70.60,"Automatic data processing storage units other than magnetic disk, not assembled in cabinets for placing on a table etc., not entered with the rest of a system",Existing,All investigated economies (universal list),
8471.70.90,"Automatic data processing storage units other than magnetic disk drive units, nesoi, not entered with the rest of a system",Existing,All investigated economies (universal list),
8471.80.10,Control or adapter units for automatic data processing machines not entered with rest of a system,Existing,All investigated economies (universal list),
8471.80.40,"Unit suitable for physical incorporation into automatic data processing machine or unit thereof, not entered with the rest of a system, nesoi",Existing,All investigated economies (universal list),
8471.80.90,"Other units of automatic data processing machines, not entered with the rest of a system, nesoi",Existing,All investigated economies (universal list),
8471.90.00,"Magnetic or optical readers, nesoi; machines for transcribing data on data media in coded form and machines for processing such data, nesoi",Existing,All investigated economies (universal list),
8473.30.11,"Printed circuit assemblies, not incorporating a cathode ray tube, of the machines of 8471",Existing,All investigated economies (universal list),
8473.30.20,"Parts and accessories of the automatic data processing machines of heading 8471, not incorporating a CRT, parts and accessories of printed circuit assemblies",Existing,All investigated economies (universal list),
8473.30.51,"Parts and accessories of the automatic data processing machines of heading 8471, not incorporating a CRT, nesoi",Existing,All investigated economies (universal list),
8473.30.91,"Parts and accessories of the automatic data processing machines of heading 8471, incorporating a CRT, nesoi",Existing,All investigated economies (universal list),
8479.89.10,"Air humidifiers or dehumidifiers with self-contained electric motor, other than for domestic purposes",Existing,All investigated economies (universal list),Aircraft
8479.89.20,"Floor polishers with self-contained electric motor, other than for domestic purposes",Existing,All investigated economies (universal list),Aircraft
8479.89.65,"Electromechanical appliances with self-contained electric motor, nesoi",Existing,All investigated economies (universal list),Aircraft
8479.89.70,"Carpet sweepers, not electromechanical with self- contained electric motor",Existing,All investigated economies (universal list),Aircraft
8479.89.95,"Other machines and mechanical appliances having individual functions, not specified or included elsewhere in chapter 84 of the HTSUS, nesoi",Existing,All investigated economies (universal list),Aircraft
8479.90.41,Parts of floor polishers of subheading 8479.89.20; parts of carpet sweepers,Existing,All investigated economies (universal list),Aircraft
8479.90.45,"Parts of trash compactors, frame assemblies",Existing,All investigated economies (universal list),Aircraft
8479.90.55,"Parts of trash compactors, ram assemblies",Existing,All investigated economies (universal list),Aircraft
8479.90.65,"Parts of trash compactors, container assemblies",Existing,All investigated economies (universal list),Aircraft
8479.90.75,"Parts of trash compactors, cabinets or cases",Existing,All investigated economies (universal list),Aircraft
8479.90.85,"Parts of trash compactors, nesoi",Existing,All investigated economies (universal list),Aircraft
8479.90.95,"Parts of machines and mechanical appliances having individual functions, not specified or included elsewhere in chapter 84 of the HTSUS, nesoi",Existing,All investigated economies (universal list),Aircraft
8483.10.10,Camshafts and crankshafts for use solely or principally with spark-ignition internal-combustion piston or rotary engines,Existing,All investigated economies (universal list),Aircraft
8483.10.30,Camshafts and crankshafts nesoi,Existing,All investigated economies (universal list),Aircraft
8483.10.50,Transmission shafts and cranks other than camshafts and crankshafts,Existing,All investigated economies (universal list),Aircraft
8483.30.40,"Bearing housings of the flange, take-up, cartridge and hanger unit type",Existing,All investigated economies (universal list),Aircraft
8483.30.80,Bearing housings nesoi; plain shaft bearings,Existing,All investigated economies (universal list),Aircraft
8483.40.10,Torque converters,Existing,All investigated economies (universal list),Aircraft
8483.40.30,"Fixed, multiple and variable ratio speed changers, imported for use with machines for making cellulosic pulp, paper or paperboard",Existing,All investigated economies (universal list),Aircraft
8483.40.50,"Fixed, multiple and variable ratio speed changers, not imported for use with machines for making cellulosic pulp, paper or paperboard",Existing,All investigated economies (universal list),Aircraft
8483.40.70,"Speed changers other than fixed, multiple and variable ratio speed changers",Existing,All investigated economies (universal list),Aircraft
8483.40.80,Ball or roller screws,Existing,All investigated economies (universal list),Aircraft
8483.40.90,"Gears and gearing, other than toothed wheels, chain sprockets and other transmission elements entered separately",Existing,All investigated economies (universal list),Aircraft
8483.50.40,"Gray-iron awning or tackle pulleys, not over 6.4 cm in wheel diameter",Existing,All investigated economies (universal list),Aircraft
8483.50.60,"Flywheels, nesoi",Existing,All investigated economies (universal list),Aircraft
8483.50.90,"Pulleys, including pulley blocks, nesoi",Existing,All investigated economies (universal list),Aircraft
8483.60.40,Clutches and universal joints,Existing,All investigated economies (universal list),Aircraft
8483.60.80,Shaft couplings (other than universal joints),Existing,All investigated economies (universal list),Aircraft
8483.90.10,Chain sprockets and parts thereof,Existing,All investigated economies (universal list),Aircraft
8483.90.20,"Parts of flange, take-up, cartridge and hanger units",Existing,All investigated economies (universal list),Aircraft
8483.90.30,"Parts of bearing housings and plain shaft bearings, nesoi",Existing,All investigated economies (universal list),Aircraft
8483.90.50,"Parts of gearing, gear boxes and other speed changers",Existing,All investigated economies (universal list),Aircraft
8483.90.80,"Parts of transmission equipment, nesoi",Existing,All investigated economies (universal list),Aircraft
8484.10.00,Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal,Existing,All investigated economies (universal list),Aircraft
8484.90.00,"Sets or assortments of gaskets and similar joints dissimilar in composition, put up in pouches, envelopes or similar packings",Existing,All investigated economies (universal list),Aircraft
8486.10.00,Machines and apparatus for the manufacture of boules or wafers,Existing,All investigated economies (universal list),
8486.20.00,Machines and apparatus for the manufacture of semiconductor devices or electronic integrated circuits,Existing,All investigated economies (universal list),
8486.30.00,Machines and apparatus for the manufacture of flat panel displays,Existing,All investigated economies (universal list),
8486.40.00,Machines and apparatus for the manufacture of masks and reticles and for the assembly of electronic integrated circuits,Existing,All investigated economies (universal list),
8486.90.00,"Parts and accessories of the machines and apparatus for the manufacture of semiconductor devices, electronic integrated circuits and flat pa",Existing,All investigated economies (universal list),
8501.20.50,Universal AC/DC motors of an output exceeding 735 W but under 746 W,Existing,All investigated economies (universal list),Aircraft
8501.20.60,Universal AC/DC motors of an output of 746 W or more,Existing,All investigated economies (universal list),Aircraft
8501.31.50,"DC motors, nesoi, of an output exceeding 735 W but under 746 W",Existing,All investigated economies (universal list),Aircraft
8501.31.60,"DC motors nesoi, of an output of 746 W but not exceeding 750 W",Existing,All investigated economies (universal list),Aircraft
8501.31.81,"DC generators, other than photovoltaic generators, of an output not exceeding 750 W",Existing,All investigated economies (universal list),Aircraft
8501.32.20,"DC motors nesoi, of an output exceeding 750 W but not exceeding 14.92 kW",Existing,All investigated economies (universal list),Aircraft
8501.32.55,"DC motors nesoi, of an output exceeding 14.92 kW but not exceeding 75 kW, nesoi",Existing,All investigated economies (universal list),Aircraft
8501.32.61,"DC generators, other than photovoltaic generators, of an output exceeding 750 W but not exceeding 75 kW",Existing,All investigated economies (universal list),Aircraft
8501.33.20,"DC motors nesoi, of an output exceeding 75 kW but under 149.2 kW",Existing,All investigated economies (universal list),Aircraft
8501.33.30,"DC motors, nesoi, 149.2 kW or more but not exceeding 150 kW",Existing,All investigated economies (universal list),Aircraft
8501.33.61,"DC generators, other than photovoltaic generators, of an output exceeding 75 kW but not exceeding 375 kW",Existing,All investigated economies (universal list),Aircraft
8501.34.61,"DC generators, other than photovoltaic generators, of an output exceeding 375 kW",Existing,All investigated economies (universal list),Aircraft
8501.40.50,"AC motors, nesoi, single-phase, exceeding 735 W but under 746 W",Existing,All investigated economies (universal list),Aircraft
8501.40.60,"AC motors nesoi, single-phase, of 746 W or more",Existing,All investigated economies (universal list),Aircraft
8501.51.50,"AC motors, nesoi, multi-phase, of an output exceeding 735 W but under 746 W",Existing,All investigated economies (universal list),Aircraft
8501.51.60,"AC motors nesoi, multi-phase of an output of 746 W but not exceeding 750 W",Existing,All investigated economies (universal list),Aircraft
8501.52.40,"AC motors nesoi, multi-phase, of an output exceeding 750 W but not exceeding 14.92 kW",Existing,All investigated economies (universal list),Aircraft
8501.52.80,"AC motors nesoi, multi-phase, of an output exceeding 14.92 kW but not exceeding 75 kW",Existing,All investigated economies (universal list),Aircraft
8501.53.40,"AC motors nesoi, multi-phase, of an output exceeding 75 kW but under 149.2 kW",Existing,All investigated economies (universal list),Aircraft
8501.53.60,"AC motors, nesoi, multi-phase, 149.2 kW or more but not exceeding 150 kW",Existing,All investigated economies (universal list),Aircraft
8501.61.01,"AC generators (alternators), other than photovoltaic generators, of an output not exceeding 75 kVA",Existing,All investigated economies (universal list),Aircraft
8501.62.01,"AC generators (alternators), other than photovoltaic generators, of an output exceeding 75 kVA but not exceeding 375 kVA",Existing,All investigated economies (universal list),Aircraft
8501.63.01,"AC generators (alternators), other than photovoltaic generators, of an output exceeding 375 kVA but not exceeding 750 kVA",Existing,All investigated economies (universal list),Aircraft
8501.71.00,"Photovoltaic DC generators, of an output not exceeding 50 W",Existing,All investigated economies (universal list),Aircraft
8501.72.10,"Photovoltaic DC generators, of an output exceeding 50 W but not exceeding 750 W",Existing,All investigated economies (universal list),Aircraft
8501.72.20,"Photovoltaic DC generators, of an output exceeding 750 W but not exceeding 75 kW",Existing,All investigated economies (universal list),Aircraft
8501.72.30,"Photovoltaic DC generators, of an output exceeding 75 kW but not exceeding 375 kW",Existing,All investigated economies (universal list),Aircraft
8501.72.90,"Photovoltaic DC generators, of an output exceeding 375 kW",Existing,All investigated economies (universal list),Aircraft
8501.80.10,"Photovoltaic AC generators, of an output not exceeding 75 kVA",Existing,All investigated economies (universal list),Aircraft
8501.80.20,"Photovoltaic AC generators, of an output exceeding 75 kVA but not exceeding 375 kVA",Existing,All investigated economies (universal list),Aircraft
8501.80.30,"Photovoltaic AC generators, of an output exceeding 375 kVA but not exceeding 750 kVA",Existing,All investigated economies (universal list),Aircraft
8502.11.00,"Electric generating sets with compression-ignition internal-combustion piston engines, of an output not exceeding 75 kVA",Existing,All investigated economies (universal list),Aircraft
8502.12.00,"Electric generating sets with compression-ignition internal-combustion piston engines, of an output exceeding 75 kVA but not over 375 kVA",Existing,All investigated economies (universal list),Aircraft
8502.13.00,"Electric generating sets with compression-ignition internal-combustion piston engines, of an output exceeding 375 kVA",Existing,All investigated economies (universal list),Aircraft
8502.20.00,Electric generating sets with spark-ignition internal- combustion piston engines,Existing,All investigated economies (universal list),Aircraft
8502.31.00,Wind-powered electric generating sets,Existing,All investigated economies (universal list),Aircraft
8502.39.00,"Electric generating sets, nesoi",Existing,All investigated economies (universal list),Aircraft
8502.40.00,Electric rotary converters,Existing,All investigated economies (universal list),Aircraft
8504.10.00,Ballasts for discharge lamps or tubes,Existing,All investigated economies (universal list),Aircraft
8504.31.20,"Unrated electrical transformers other than liquid dielectric, having a power handling capacity not exceeding 1 kVA",Existing,All investigated economies (universal list),Aircraft
